Men's Single sculls;Rowing
Men's Mountain Biking, Cross-Country;Mountain biking
Men's 200m breaststroke;Swimming
Women's Foil team;Fencing
Men's 400m freestyle;Swimming
Women's Team Pursuit;Speed skating
Men's Freestyle Wrestling, Featherweight -60kg;Freestyle wrestling
Men's Freestyle Wrestling, Lightweight 61.2-65.8kg;Freestyle wrestling
300m military rifle, prone;Shooting sports
Men's Double American Round;Archery
Men's Greco-Roman Featherweight;Greco-Roman wrestling
Men's 1 Mile Freestyle;Swimming
Standing High Jump;Track and field athletics
Men's boxing welterweight 62-67kg;Boxing
Men's Foil Team;Fencing
Women's Track Cycling, Team Sprint;Track cycling
Men's Track Cycling, 10 km;Track cycling
Men's 25m small bore rifle;Shooting sports
Men's Boxing, Lightweight 58-62kg;Boxing
Men's Athletics, Cross-Country;Track and field athletics
Olympic trap;Shooting sports
Men's Team Relay;Nordic combined
Men's Freestyle Wrestling, Heavyweight 84-96kg;Freestyle wrestling
Men's Road Cycling, Individual Time Trial;Road cycling
49er - Skiff;Sailing
Men's Judo, 71-78kg (half middleweight);Judo
Men's 10km Pursuit;Cross-country skiing
Men's Cross Country, 10km;Cross-country skiing
Team figure skating;Figure skating
Men's Freestyle Wrestling, Middleweight 73-79 kg;Freestyle wrestling
Men's Freestyle Wrestling, Light Heavyweight 79-87kg;Freestyle wrestling
Men's Boxing, Bantamweight 47.6-52.2 kg;Boxing
Men's football;Football
Men's Double sculls;Rowing
Men's Freestyle Wrestling, Featherweight 55 - 60 kg;Freestyle wrestling
Men's Freestyle Wrestling, Lightweight 63-70kg;Freestyle wrestling
Men's Athletics, 110m hurdles;Track and field athletics
Women's Judo, 70 - 78kg (half-heavyweight);Judo
Men's Athletics, 4x100m relay;Track and field athletics
Women's Track cycling, points race;Track cycling
Men's Individual Sprint;Cross-country skiing
Women's Snowboard Cross;Snowboarding
Men's Freestyle Wrestling, Bantamweight -56kg;Freestyle wrestling
Women's Floor exercises;Artistic gymnastics
Men's 400m individual medley;Swimming
Men's 100m backstroke;Swimming
Men's Weightlifting, Heavyweight +82.5;Weightlifting
Men's FreestyleWrestling, Light Flyweight 47.6kg;Freestyle wrestling
Women's 4x100m medley relay;Swimming
Women's 100m freestyle;Swimming
Men's 50m rifle prone;Shooting sports
Men's 50 km, Mass start;Cross-country skiing
Women's Super-G;Alpine skiing
Women's Track Cycling, Keirin;Track cycling
Men's Table tennis, team;Table tennis
Women's 50m freestyle;Swimming
Men's Rings;Artistic gymnastics
Women's Pole vault;Track and field athletics
Men's Discus throw;Track and field athletics
Women's Singles;Figure skating
Women's Athletics, Marathon;Track and field athletics
Men's Boxing, Super Heavyweight +91kg;Boxing
Men's Judo, 73 - 81kg (half-middleweight);Judo
Women's Foil individual;Fencing
Men's Freestyle Wrestling, Bantamweight 55kg;Freestyle wrestling
Women's 10 km;Cross-country skiing
Men's Parallel Giant Slalom;Snowboarding
Women's 500 m;Speed skating
Women's Track Cycling, Individual Pursuit;Track cycling
Eventing, individual;Eventing
Women's Boxing, Middleweight 75kg;Boxing
Women's Judo, 66-72 kg (Half Heavyweight);Judo
Men's 220yds Freestyle;Swimming
12' Dinghy;Sailing
Men's Greco-Roman Wrestling, Featherweight 57-62 kg;Greco-Roman wrestling
Men's Au cordon doré 33m;Archery
Men's Golf;Golf
Snowboard Cross;Snowboarding
1200m Freestyle Men;Swimming
Men's Weightlifting, Flyweight -54kg;Weightlifting
Men's Athletics, 200m Hurdles;Track and field athletics
Men's Greco Roman Wrestling, Middleweight 76-85 kg;Greco-Roman wrestling
Men's Greco-Roman Wrestling, Lightweight 63-69 kg;Greco-Roman wrestling
Men's Snowboarding Cross;Snowboarding
Two-Man Bobsleigh;Bobsleigh
Women's 15 km Pursuit;Cross-country skiing
Running Deer, Double Shot;Shooting sports
Men's Track Cycling, 5km;Track cycling
Women's Ice Hockey;Ice Hockey
Women'sTrack Cycling,  Time Trial;Track cycling
Men's Freestyle Wrestling, Middleweight 74-84kg;Freestyle wrestling
Men's Greco-Roman Wrestling, Light Flyweight  -48kg;Greco-Roman wrestling
Men's Skeet;Shooting sports
Women's 200m breaststroke;Swimming
Men's Foil individual;Fencing
Men's Boxing, Lightweight 57 - 60kg;Boxing
Women's 200m individual medley;Swimming
Women's Boxing, Lightweight 60kg;Boxing
Women's Tennis, doubles;Tennis
Women's 5000 m;Speed skating
Men's Individual (LH/10km);Nordic combined
Women's Volleyball;Volleyball
Men's 10m air pistol;Shooting sports
Women's Skeet;Shooting sports
Women's K-1 (kayak single);Canoe Slalom
300m military rifle, three positions;Shooting sports
Men's 50 yards Freestyle;Swimming
Small-bore Rifle, Disappearing Target;Shooting sports
Standing Long Jump;Track and field athletics
Men's Singles;Luge
Women's Cross-Country, 30km;Cross-country skiing
Men's Boxing, Heavyweight +81;Boxing
Men's Freestyle Wrestling, Heavyweight 90-100kg;Freestyle wrestling
Women's Golf;Golf
Men's Greco-Roman Wrestling, Featherweight 58-62 kg;Greco-Roman wrestling
Men's boxing, lightweight 57.2-61.2 kg;Boxing
Open Laser Class;Sailing
Women's Synchronized Swimming Solo;Synchronized swimming
Men's Greco-Roman Wrestling, Featherweight 57-63 kg;Greco-Roman wrestling
Winter pentathlon at the 1948 Winter Olympics;Winter Pentathalon
Men's Freestyle Wrestling, heavyweight +73;Freestyle wrestling
Men's Beach Volleyball;Beach volleyball
Women's Single Sculls;Rowing
Men's Triathlon;Triathlon
Women's Weightlifting, 58kg;Weightlifting
Men's Double trap;Shooting sports
Women's Long jump;Track and field athletics
Women's K-2 500m (kayak double);Canoe Sprint
Ice dancing;Figure skating
Men's boxing, Light Middleweight 67-71kg;Boxing
Women's Bobsleigh;Bobsleigh
Men's Individual (NH/10km);Nordic combined
Men's Weightlifting, Heavyweight +90;Weightlifting
Men's Freestyle Wrestling,  Heavyweight +71.7;Freestyle wrestling
Men's Nordic Combined, Individual;Nordic combined
Men's Weightlifting, Men's Lightweight 64-70 kg;Weightlifting
Individual moving bird, 33 metres;Archery
Men's Greco-Roman Wrestling,  Welterweight 67-73 kg;Greco-Roman wrestling
Women's Judo, +72 (heavyweight);Judo
Women's Hammer throw;Track and field athletics
Men's 100m breaststroke;Swimming
Women's Taekwondo, Heavyweight + 67 kg;Taekwondo
Men's 4x200m freestyle relay;Swimming
Women's Freestyle Wrestling, Heavyweight 63 - 72kg;Freestyle wrestling
Men's 10m air rifle;Shooting sports
Men's Archery, team;Archery
Men's Sabre individual;Fencing
Men's Road cycling, individual road race;Road cycling
Women's Vault;Artistic gymnastics
Women's Sabre individual;Fencing
Women's Double Colombia Round;Archery
Men's Judo, +80 (heavyweight);Judo
Men's Boxing, featherweight 54-58kg;Boxing
Heavyweight (Two-handed);Weightlifting
Croquet, Singles (2 Balls);Croquet
Men's Athletics, 200m;Track and field athletics
Men's Table Tennis, Singles;Table tennis
Women's Athletics, 1500m;Track and field athletics
Men's K1 10,000m Kayak Singles;Canoe Sprint
Two Handed Discus Throw;Track and field athletics
Men's 200 metre military rifle;Shooting sports
Men's Boxing, Flyweight -50.8kg;Boxing
Olympic skeet;Shooting sports
Men's Obstacle Race;Swimming
Men's High jump;Track and field athletics
Women's Beach Volleyball;Beach volleyball
Men's Weightlifting, Heavyweight 94 - 105 kg;Weightlifting
Women's Athletics, 800m;Track and field athletics
Men's 50km walk;Track and field athletics
Men's Boxing, Light Welterweight 60-63.5;Boxing
Men's freestyle Wrestling, Welterweight 68-74 kg;Freestyle wrestling
Men's Freestyle Wrestling, Middleweight 76-85 kg;Freestyle wrestling
Men's boxing, heavyweight +80;Boxing
Women's Judo, 61-66 kg (Middleweight);Judo
Men's Athletics, 3200m Steeplechase;Track and field athletics
Women's Boxing, Flyweight 51kg;Boxing
Men's Freestyle Wrestling, Bantamweight -58 kg;Freestyle wrestling
Men's Track Cycling, 100km;Track cycling
Men's Cross-country, 50km;Cross-country skiing
Men's Freestyle Javelin;Track and field athletics
Men's Pentathlon;Track and field athletics
Gymnastics-Qualification;Gymnastics
Men's Boxing, Heavyweight +71.7kg;Boxing
300m military rifle, standing;Shooting sports
Men's Judo, 86-95kg (half heavyweighgt);Judo
Badminton - Women's doubles;Badminton
Men's Weightlifting, Heavyweight 90-110 kg;Weightlifting
Men's Weightlifting, Super Heavyweight +110;Weightlifting
Men's 30 metre free pistol;Shooting sports
Men's Track cycling, Individual Pursuit;Track cycling
Women's Singles;Luge
Women's 1500m;Speed skating
Individual Eventing;Eventing
Men's Track Cycling, Team Sprint;Track cycling
Women's Judo, - 48kg (extra-lightweight);Judo
Women's Discus throw;Track and field athletics
Women's RS:X - Windsurfer;Sailing
Men's Boxing, Middleweight 67-73;Boxing
Men's Athletics, 2500m Steeplechase;Track and field athletics
Men's Freestyle Wrestling, heavyweight +82.5;Freestyle wrestling
Judo, Open Category;Judo
Men's Weightlifting, Middleweight 67.5-75kg;Weightlifting
Men's Snowboard Giant Slalom;Snowboarding
Men's 20km Pursuit (10km + 10km);Cross-country skiing
Men's Judo, -68kg (lightweight);Judo
Men's Greco-Roman Wrestling, Light Heavyweight;Greco-Roman wrestling
Women's 10m air pistol;Shooting sports
Women's Quadruple sculls without coxswain;Rowing
Men's Boxing, 48 - 51kg (flyweight);Boxing
Jumping, individual;Show jumping
Individual vaulting;Equestrian vaulting
Men's All Around Dumbbell;Weightlifting
25 metre military pistol;Shooting sports
Men's Boxing, Flyweight  -47.6 kg;Boxing
Men's Track Cycling, 2 Miles;Track cycling
Men's Boxing, Bantamweight 50.8-53.5kg;Boxing
Men's Athletics, 5 Miles;Track and field athletics
Men's Freestyle, Lightweight 62-68kg;Freestyle wrestling
Men's 500m;Short track speed skating
Two-Woman Bobsleigh;Bobsleigh
Women's Skeleton;Skeleton
Women's 7.5 km Sprint;Biathlon
Men's Greco-Roman, Heavyweight +97kg;Greco-Roman wrestling
Greco-Roman Wrestling Super Heavyweight 97-130 kg;Greco-Roman wrestling
Team Eventing;Eventing
Individual Fixed Large Bird;Archery
Women's BMX Cycling;BMX racing
Men's Judo, 81 - 90kg (middleweight);Judo
Women's Javelin throw;Track and field athletics
Women's Épée individual;Fencing
Women's High jump;Track and field athletics
Individual Dressage;Dressage
Individual Jumping;Show jumping
Men's Boxing, Bantamweight -52.6 kg;Boxing
Women's Pair without coxswain;Rowing
Men's 200m Freestyle;Swimming
Men's trampoline;Trampoline
Women's TableTennis, Singles;Table tennis
Women's Parallel Giant Slalom;Snowboarding
Freestyle Super Heavyweight 97-130 kg;Freestyle wrestling
Women's Athletics, 3000m;Track and field athletics
Men's 300m Free Rifle, 3 Positions;Shooting sports
Men's Greco-Roman Wrestling, Lightweight  63-70 kg;Greco-Roman wrestling
Men's Greco-Roman Wrestling, Light Heavyweight 87-97kg;Greco-Roman wrestling
Women's Ski Cross;Freestyle skiing
Men's Team Pursuit;Speed skating
Men's Lacrosse;Lacrosse
Women's Athletics, 10000m;Track and field athletics
Women's Heptathlon;Track and field athletics
Women's Team Sprint;Cross-country skiing
Women's 200m butterfly;Swimming
Men's Athletics, 10000m;Track and field athletics
Women's handball;Team handball
Men's  Tumbling;Artistic gymnastics
Men's Greco-Roman Wrestling, Middleweight 75 kg;Greco-Roman wrestling
Two Handed Shot Put;Track and field athletics
Women's Athletics, 5000m;Track and field athletics
Women's Uneven bars;Artistic gymnastics
Men's Greco-Roman Wrestling, Super Heavyweight 96-120 kg;Greco-Roman wrestling
Men's C-1 1000m (canoe single);Canoe Sprint
Eventing, team;Eventing
Men's C-2 500m (canoe double);Canoe Sprint
Women's Judo, 57 - 63kg (Half-Middleweight);Judo
Men's Lightweight double sculls;Rowing
Men's Track cycling, Sprint individual;Track cycling
Men's Freestyle Wrestling, Lightweight 61-66kg;Freestyle wrestling
Men's Nordic Combined Sprint;Nordic combined
Men's 30 km freestyle mass start;Cross-country skiing
Greek Discus;Track and field athletics
Men's Ice Hockey;Ice Hockey
Women's Ski Jumping;Ski jumping
Men's Sabre team;Fencing
Men's RS:X - Windsurfer;Sailing
Men's Freestyle Wrestling, Featherweight 54-60.3 kg;Freestyle wrestling
Women's 20km;Cross-country skiing
1000 yd free rifle;Shooting sports
Women's 300m Freestyle;Swimming
Women's Aerials;Freestyle skiing
Men's 12.5 km Pursuit;Biathlon
Women's 1500m;Short track speed skating
Women's Road cycling, individual road race;Road cycling
Men's Taekwondo, Heavyweight + 80 kg;Taekwondo
Men's K-1 1000m (kayak single);Canoe Sprint
Women's Judo, 48 - 52kg (half-lightweight);Judo
Badminton - Mixed doubles (Olympics);Badminton
BMX racing;BMX racing
Men's Sur la perche á la herse;Archery
Men's Track Cycling, 25 Miles;Track cycling
Men's Boxing, Middleweight 71-75kg;Boxing
Men's Freestyle Wrestling, 67-73kg;Freestyle wrestling
Individual Moving Bird, 28 metres;Archery
Men's Athletics, 4000m Steeplechase;Track and field athletics
Men's 1000m;Short track speed skating
Men's 4x7.5 km Relay;Biathlon
Women's 500m;Short track speed skating
Men's 20 km Individual;Biathlon
Women's Judo, Lightweight (56kg);Judo
Men's 100yds Backstroke;Swimming
Men's Greco-Roman Wrestling, Middleweight 67.5-75 kg;Greco-Roman wrestling
Women's football;Football
Women's 1000m;Speed skating
Men's Cross-Country, 15 km;Cross-country skiing
Women's hockey;Field hockey
Men's Sailboard;Sailing
Team Jumping;Show jumping
Women's 10 metre platform;Diving
Men's Pommel horse;Artistic gymnastics
Standing triple jump;Track and field athletics
Men's Star - Keelboat;Sailing
Women's 200m freestyle;Swimming
Women's Rhythmic gymnastics, group competition;Rhythmic gymnastics
Men's Athletics, 1500m;Track and field athletics
Men's Athletics, 100m;Track and field athletics
Men's Tennis, Indoor Singles;Tennis
Men's Freestyle Wrestling,  Middleweight 66.6-73kg;Freestyle wrestling
Women's Athletics, 3000m steeplechase;Track and field athletics
Men's Greco-Roman Wrestling, Bantamweight 55kg;Greco-Roman wrestling
Men's hockey;Field hockey
Women's Judo, + 78kg (heavyweight);Judo
Men's 200m backstroke;Swimming
Men's 10 km Sprint;Biathlon
Men's Track Cycling, 1/4 mile;Track cycling
Men's Freestyle Wrestling, Middleweight 67.5-75kg;Freestyle wrestling
Rackets, Men's Singles;Rackets
Men's Freestyle Wrestling, Lightweight 60.3-66.6;Freestyle wrestling
Running Deer, Single Shot;Shooting sports
10 metre running target;Shooting sports
Men's Boxing, Bantamweight 51 - 54kg;Boxing
Women's Taekwondo, Lightweight 49 - 57 kg;Taekwondo
Women's softball;Softball
Men's synchronized 10 metre platform;Diving
Women's 10m air rifle;Shooting sports
Women's Weightlifting, 48kg;Weightlifting
Men's Freestyle Wrestling, Welterweight 69-76 kg;Freestyle wrestling
Women's Badminton, singles;Badminton
Women's water polo;Water polo
Women's 100m butterfly;Swimming
Women's Mountain Biking, Cross-Country;Mountain biking
Women's Gymnastics, individual all-round;Artistic gymnastics
Women's 4x100m freestyle relay;Swimming
Women's synchronized 3 metre springboard;Diving
Men's Judo, 90 - 100kg (half-heavyweight);Judo
Men's Weightlifting, Middle Heavyweight 85-94 kg;Weightlifting
Men's Weightlifting, Featherweight 56-62 kg;Weightlifting
Men's C-2 (canoe double);Canoe Slalom
Women's Athletics, 4x100m relay;Track and field athletics
Women's boxing;Boxing
Men's Greco-Roman Wrestling, Heavyweight +82.5;Greco-Roman wrestling
Men's Track Cycling, 20km;Track cycling
Men's Speed Skating, All Around;Speed skating
Women's 15km;Cross-country skiing
Men's Greco-Roman Wrestling, Heavyweight;Greco-Roman wrestling
Men's Judo, +95 (Heavyweight);Judo
Women's Athletics, 20km walk;Track and field athletics
Men's Track cycling, Olympic Sprint;Track cycling
Women's Weightlifting, + 75kg;Weightlifting
Men's Greco-Roman Wrestling, Light Heavyweight 79-87kg;Greco-Roman wrestling
Men's Greco-Roman Wrestling, Heavyweight +87;Greco-Roman wrestling
600m military rifle;Shooting sports
50m small bore rifle;Shooting sports
Men's 1500m;Speed skating
Women's 3000m Relay;Short track speed skating
Women's Moguls;Freestyle skiing
Men's 15 km Mass Start;Biathlon
Men's Freestyle Wrestling, Featherweight 58-63 kg;Freestyle wrestling
Men's Pairs with coxswain;Rowing
Men's 1000 yd free rifle;Shooting sports
Men's Greco-Roman Wrestling, Open;Greco-Roman wrestling
Club Swinging;Artistic gymnastics
Men's Freestyle Wrestling, Welterweight 66-72kg;Freestyle wrestling
Men's Freestyle Wrestling, Featherweight 57-62kg;Freestyle wrestling
Men's Boxing, Featherweight 52.6-57.2 kg;Boxing
Men's Freestyle Wrestling, Middleweight 72-79 kg;Freestyle wrestling
Men's 50km freestyle;Cross-country skiing
Masters Foil;Fencing
Men's Freestyle Wrestling, flyweight 48-52 kg;Freestyle wrestling
Women's 5km;Cross-country skiing
Men's Au chapelet 50m;Archery
Men's 440yds Breaststroke;Swimming
Men's Track Cycling, 1/3 Mile;Track cycling
Men's 30 metre military pistol;Shooting sports
Men's Freestyle Wrestling, Light Heavyweight 75-82.5kg;Freestyle wrestling
Men's Freestyle Wrestling, Bantamweight -54kg;Freestyle wrestling
Men's Boxing, Light Heavyweight 73-80kg;Boxing
Men's 10km Walk;Track and field athletics
Four-Man Bobsleigh;Bobsleigh
Men's Individual Large Hill;Ski jumping
Men's water polo;Water polo
Men's Boxing, Featherweight 54 - 57 kg;Boxing
Men's Volleyball;Volleyball
Men's Weightlifting, Lightweight 60-67.5kg;Weightlifting
Men's Team Sprint;Cross-country skiing
Women's 3000 m;Speed skating
Men's Weightlifting, Flyweight -52kg;Weightlifting
Men's Freestyle Wrestling, Welterweight 70-78kg;Freestyle wrestling
Men's Combined;Alpine skiing
Men's Greco-Roman Wrestling, Super Heavyweight  +100 kg;Greco-Roman wrestling
Women's Giant Slalom;Alpine skiing
Men's Freestyle Wrestling, Welterweight 66-74kg;Freestyle wrestling
Men's Modern pentathlon;Modern pentathlon
Women's Laser Radial - One Person Dinghy;Sailing
Rope climbing;Artistic gymnastics
Men's Greco-Roman Wrestling, Welterweight 66 - 72 kg;Greco-Roman wrestling
Moving target small-bore;Shooting sports
Men's 50m pistol;Shooting sports
Special Figures;Figure skating
Heavyweight One Handed Lift;Weightlifting
